,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,Between
145,583,150.6631033,-34.0248817,2.4,0.5,-0.14,4.23,26.7,12.8,-6.29,-9.94,14.55
146,587,150.6631067,-34.024855,0.4,-0.1,0.13,4.28,26.2,11.5,-6.2,-9.36,13.3
147,591,150.6630983,-34.02483,1.2,-0.3,0.12,4.26,25.4,11,-5.99,-8.88,13.3
148,595,150.6630767,-34.0248117,0.4,-0.3,0.24,4.27,24.5,10.7,-5.76,-8.42,12.45
149,599,150.6630467,-34.0248083,-0.6,-0.8,0.04,4.11,26.4,11,-5.35,-8.23,12.9
150,603,150.6630167,-34.0248183,0.7,-0.4,0.25,4.46,25,11.1,-5.81,-8.5,12.85
151,607,150.6629983,-34.02484,1.2,-0.6,0.2,4.4,25.1,11.2,-5.92,-8.86,13.15
152,611,150.6629883,-34.02487,1.9,-0.6,0.05,4.37,26.1,11.1,-6.22,-9.18,14
153,615,150.6629817,-34.0248983,1.9,-0.3,0.03,4.45,27.7,11.9,-6.42,-9.71,14.8
154,619,150.662975,-34.0249283,1.7,-0.7,-0.35,3.92,28.3,12.2,-6.4,-10.27,15
155,623,150.6629667,-34.0249633,4.2,0.5,-0.41,4.03,28.2,13.6,-6.67,-10.7,16.2
156,627,150.6629567,-34.0250017,4.8,1.3,-0.5,4.05,28.6,13.8,-6.82,-11,16.7
157,631,150.662945,-34.0250433,5,2.4,-0.47,3.88,27,13.7,-6.34,-10.35,16
158,635,150.6629333,-34.02509,4.5,4.9,-0.26,3.01,22.3,12.7,-5.1,-8.92,13.4
159,639,150.6629233,-34.0251367,3.4,5.7,-0.16,2.39,18.7,12,-4.44,-8.27,11.05
160,643,150.6629117,-34.0251867,3.8,7.2,-0.08,1.57,16,11.3,-3.8,-7.65,9.9
161,647,150.6629,-34.0252383,4,7.9,-0.06,1.4,16.7,11,-3.83,-7.56,10.35
162,651,150.6628867,-34.02529,4,7,-0.07,1.75,19,11.7,-4.33,-8.06,11.5
163,655,150.6628733,-34.0253433,4,6.4,-0.23,2.04,20.7,12.5,-4.79,-8.8,12.35
164,659,150.66286,-34.0253967,4.3,6.4,-0.18,2.09,19.8,11.7,-4.7,-8.46,12.05
165,663,150.662845,-34.02545,3.6,6.7,0.06,2.22,18.8,11.1,-4.33,-7.52,11.2
166,667,150.6628317,-34.025505,4.4,7.2,0.13,2.21,17.6,11.1,-4.03,-6.85,11
167,671,150.6628183,-34.0255617,3.7,8.1,0.26,2.05,15.9,10.6,-3.63,-6.14,9.8
168,675,150.662805,-34.0256167,3.5,8.4,0.39,1.85,14.2,9.6,-3.27,-5.46,8.85
169,679,150.6627917,-34.0256717,3.3,8.1,0.41,2.11,14.6,8.7,-3.38,-5.25,8.95
170,683,150.6627783,-34.0257283,2.3,7.8,0.47,2.13,14.2,8.6,-3.32,-4.97,8.25
171,687,150.662765,-34.025785,1.8,7.1,0.5,2.14,13.1,8.3,-3.21,-4.76,7.45
172,691,150.6627517,-34.02584,1.6,7,0.46,1.91,12.1,7.8,-2.98,-4.6,6.85
173,695,150.66274,-34.0258933,-0.1,5.3,0.48,1.95,12,7,-3.06,-4.73,5.95
174,699,150.6627283,-34.0259467,-1.1,4.2,0.67,2.21,11.9,6,-3.06,-4.46,5.4
175,703,150.6627167,-34.026,-0.1,4,0.51,2.16,11.4,6,-2.94,-4.42,5.65
176,707,150.662705,-34.02605,-0.6,3.9,0.55,2.26,11.4,6,-2.94,-4.37,5.4
177,711,150.662695,-34.0261,-1,3.9,0.54,2.22,10.8,5.6,-2.84,-4.22,4.9
178,715,150.6626833,-34.0261483,-1.2,3.4,0.6,2.29,10,5.1,-2.81,-4.13,4.4
179,719,150.6626717,-34.0262,-1.3,3.1,0.55,2.16,9.5,5.2,-2.7,-4.09,4.1
180,723,150.66266,-34.0262517,-1.2,2.6,0.54,2.11,8.9,4.6,-2.68,-4.07,3.85
181,727,150.66265,-34.0263017,-1.4,2.9,0.54,2.12,9.5,4.6,-2.72,-4.09,4.05
182,731,150.6626383,-34.0263483,-2.4,2.4,0.41,2.04,10,4.9,-2.81,-4.37,3.8
183,735,150.6626283,-34.026395,-1.2,2.5,0.5,2.19,11.2,5.4,-3.07,-4.7,5
184,739,150.6626183,-34.0264417,-1.2,1.7,0.51,2.45,12.6,5.6,-3.43,-5.09,5.7
185,743,150.66261,-34.026485,-1.3,1,0.44,2.46,12.3,5.1,-3.48,-5.19,5.5
186,747,150.6626,-34.0265283,-2.8,0.7,0.56,2.54,12.7,4.8,-3.43,-5.1,4.95
187,751,150.6625917,-34.02657,-3.7,0.3,0.56,2.58,11.8,4.1,-3.42,-4.98,4.05
188,755,150.6625783,-34.0266083,-3.2,0,0.58,2.5,10.7,3.9,-3.37,-4.79,3.75
189,759,150.6625567,-34.02664,-3,-0.2,0.62,2.5,10.7,4,-3.34,-4.76,3.85
190,763,150.662525,-34.0266583,-3.3,-0.2,0.62,2.56,10.5,3.8,-3.36,-4.78,3.6
191,767,150.66249,-34.02666,-3,-0.1,0.55,2.44,9.6,3.5,-3.23,-4.74,3.3
192,771,150.66246,-34.0266483,-3.1,-0.3,0.55,2.3,9.2,3.4,-3.09,-4.57,3.05
193,775,150.6624383,-34.026625,-3.1,0,0.6,2.32,9.2,3.8,-3.03,-4.43,3.05
194,779,150.66243,-34.0265933,-3,0.3,0.55,2.32,9.2,3.8,-3.11,-4.63,3.1
195,783,150.662435,-34.0265583,-3.2,0,0.54,2.41,9.8,4.2,-3.19,-4.69,3.3
196,787,150.662445,-34.0265217,-3,0.3,0.53,2.5,11.2,4.4,-3.41,-4.92,4.1
197,791,150.6624567,-34.0264817,-2.7,0.6,0.57,2.58,11.5,4.2,-3.47,-4.91,4.4
198,795,150.6624683,-34.02644,-3,0.5,0.57,2.57,11.6,4.8,-3.48,-4.94,4.3
199,799,150.6624817,-34.0263967,-2.5,0.2,0.55,2.61,12,4.8,-3.46,-4.93,4.75
200,803,150.6624933,-34.0263533,-2.2,1,0.48,2.54,12.3,5.4,-3.43,-5.03,5.05
201,807,150.662505,-34.0263083,-1,2.1,0.48,2.46,12.1,5.7,-3.25,-4.85,5.55
202,811,150.6625167,-34.0262617,-0.6,3.2,0.52,2.21,10.6,5.5,-2.91,-4.37,5
203,815,150.66253,-34.0262117,-1,3.5,0.58,2.13,9.6,4.9,-2.69,-4.03,4.3
204,819,150.662545,-34.0261617,-1.3,3.3,0.6,2.24,9.4,4.6,-2.71,-3.91,4.05
205,823,150.6625583,-34.0261117,-0.5,3.3,0.52,2.13,8.7,4.9,-2.63,-3.94,4.1
206,827,150.6625717,-34.0260583,-0.7,3.4,0.52,2.12,8.9,4.5,-2.67,-3.94,4.1
207,831,150.6625867,-34.0260067,-0.5,3.7,0.51,2.18,9.7,5.4,-2.73,-4.09,4.6
208,835,150.6626017,-34.0259533,-0.5,4.4,0.55,2.15,10.5,5.6,-2.78,-4.12,5
209,839,150.662615,-34.0259017,-0.4,4.1,0.62,2.35,11.6,6.4,-3,-4.3,5.6
210,843,150.6626283,-34.0258483,-0.5,4.2,0.64,2.34,11.7,6.3,-3.11,-4.39,5.6
211,847,150.6626417,-34.0257983,-0.8,4.4,0.67,2.2,12.1,6.5,-3.1,-4.57,5.65
212,851,150.6626533,-34.0257483,0.8,5.7,0.55,1.91,12.1,7.5,-3.02,-4.75,6.45
213,855,150.6626667,-34.0257,1.6,7,0.57,2.02,13.1,8.2,-3.2,-5,7.35
214,859,150.6626783,-34.0256483,2.1,7.9,0.5,2.09,14.7,9.4,-3.5,-5.44,8.4
215,863,150.6626917,-34.0255967,2.2,7.9,0.46,2.24,15.3,9.7,-3.61,-5.72,8.75
216,867,150.662705,-34.025545,3.1,7.3,0.28,2.11,15.6,9.5,-3.61,-6,9.35
217,871,150.6627183,-34.02549,3.8,8.4,0.23,1.65,14.1,9.7,-3.27,-5.99,8.95
218,875,150.6627333,-34.025435,4,9.6,0.24,1.44,13.9,10.7,-3.16,-5.99,8.95
219,879,150.6627483,-34.02538,4.6,9.4,0.18,1.76,15.5,11,-3.58,-6.4,10.05
220,883,150.6627633,-34.0253233,4.7,8,0.11,2.41,19.2,11.9,-4.43,-7.34,11.95
221,887,150.66278,-34.0252683,5.2,6.7,-0.03,2.74,21.4,12.2,-4.95,-8.11,13.3
222,891,150.662795,-34.0252117,5.7,7.1,-0.05,2.65,21.9,13.7,-4.9,-8.23,13.8
223,895,150.6628083,-34.0251567,5.7,8.6,-0.01,1.96,19.3,13.6,-4.12,-7.54,12.5
224,899,150.6628217,-34.0251033,7.2,10.5,-0.17,1.29,16.8,14.1,-3.62,-7.63,12
225,903,150.6628333,-34.02505,7.5,10.6,-0.22,1.37,16.3,13.7,-3.57,-7.6,11.9
226,907,150.662845,-34.0249983,7.4,10.3,-0.26,1.68,17.7,14.2,-3.82,-7.81,12.55
227,911,150.6628583,-34.02495,7.1,8.1,-0.36,2.32,20.5,13.5,-4.57,-8.55,13.8
228,915,150.66287,-34.024905,5.9,4.7,-0.48,3.35,25.4,13.2,-5.86,-9.78,15.65
229,919,150.6628833,-34.0248667,5.2,2.2,-0.51,3.87,27.3,13.6,-6.39,-10.56,16.25
230,923,150.6628917,-34.0248333,3.7,1.7,-0.36,3.62,25.9,13.3,-6.09,-10.23,14.8
231,927,150.6628867,-34.0248067,2.1,0.8,-0.06,4.1,26.6,12.3,-6.27,-9.85,14.35
232,931,150.662865,-34.0247867,2.7,-0.2,-0.23,4.14,26.8,12.3,-6.27,-9.69,14.75
233,935,150.662835,-34.02478,1.9,-0.4,-0.02,4.35,26,11.6,-6.04,-9.18,13.95
234,939,150.6628033,-34.0247867,2.4,-0.5,-0.13,4.08,24.6,11.3,-5.77,-8.93,13.5
235,943,150.6627767,-34.0248067,2.4,-0.1,-0.13,4,24.3,11,-5.71,-8.94,13.35
236,947,150.6627583,-34.024835,1.4,-0.6,0.01,3.98,23.4,11,-5.47,-8.49,12.4
237,951,150.662745,-34.02487,1.2,-0.3,0.06,3.69,22.2,10.3,-5.16,-8.14,11.7
238,955,150.6627367,-34.0249033,2,0.2,-0.04,3.73,23.2,10.8,-5.35,-8.34,12.6
239,959,150.6627283,-34.0249383,3.9,1,-0.28,4,25.3,12.4,-5.77,-9.07,14.6
240,963,150.6627183,-34.0249783,4.5,3.6,-0.2,3.25,21.8,12.5,-4.9,-8.52,13.15
