Latitude,Longitude,Accuracy,Time,Reading
-34.02630643,150.66267752,3,131811,4.73
-34.02633655,150.66266835,3,131812,4.4
-34.02636592,150.66265926,3,131813,4.77
-34.02639383,150.66264997,3,131814,4.599999
-34.0264211,150.6626415,3,131815,4.76
-34.02644688,150.66263468,3,131816,4.45
-34.02646239,150.66263064,3,131817,4.7
-34.02647489,150.66262709,3,131818,4.89
-34.02648698,150.66262083,3,131819,4.57
-34.02649669,150.66260957,3,131820,4.44
-34.02650188,150.66259323,3,131821,4.52
-34.02650041,150.66257422,3,131822,4.849999
-34.02649134,150.66255839,3,131823,4.86
-34.02647569,150.66254911,3,131824,4.91
-34.0264579,150.66254729,3,131825,4.829999
-34.02644023,150.66254948,3,131826,4.81
-34.02642236,150.66255513,3,131827,4.69
-34.02640436,150.66256186,3,131828,4.67
-34.02638158,150.66256936,3,131829,4.78
-34.02635898,150.66257606,3,131830,4.74
-34.0263363,150.66258324,3,131831,4.65
-34.02631396,150.66259026,3,131832,4.63
-34.02629188,150.6625966,3,131833,4.74
-34.02626916,150.6626026,3,131834,4.86
-34.02624672,150.66260942,3,131835,4.74
-34.02622405,150.66261645,3,131836,4.97
-34.0262006,150.6626234,3,131837,4.82
-34.02617672,150.6626302,3,131838,4.600001
-34.0261522,150.66263687,3,131839,4.78
-34.02612738,150.66264407,3,131840,4.819999
-34.02610274,150.66265124,3,131841,4.93
-34.02607593,150.66265892,3,131842,4.59
-34.02604877,150.66266662,3,131843,4.8
-34.02602162,150.66267424,3,131844,4.72
-34.0259942,150.66268229,3,131845,4.91
-34.02596671,150.66269042,3,131846,4.96
-34.02593906,150.66269841,3,131847,4.96
-34.02591191,150.6627065,3,131848,4.61
-34.02588465,150.66271417,3,131849,4.91
-34.02585699,150.66272127,3,131850,4.79
-34.02582884,150.66272789,3,131851,4.65
-34.02580026,150.66273422,3,131852,4.62
-34.02577087,150.66274041,3,131853,4.829999
-34.02574098,150.66274684,3,131854,4.65
-34.02571081,150.66275408,3,131855,4.8
-34.02568015,150.66276145,3,131856,4.77
-34.02564913,150.66276858,3,131857,4.81
-34.02561534,150.66277587,3,131858,4.68
-34.02558172,150.66278311,3,131859,4.77
-34.02554829,150.66279024,3,131900,4.66
-34.02551536,150.66279809,3,131901,4.7899
-34.02548259,150.66280648,3,131902,4.79
-34.0254504,150.66281559,3,131903,4.63
-34.02541842,150.66282531,3,131904,4.48
-34.02538666,150.66283496,3,131905,4.77
-34.02535521,150.66284432,3,131906,5.77
-34.02532351,150.66285293,3,131907,4.93
-34.02529132,150.66286137,3,131908,4.45
-34.02525883,150.66286976,3,131909,4.51
-34.0252266,150.66287798,3,131910,4.44
-34.02519426,150.66288534,3,131911,4.58
-34.02516196,150.66289255,3,131912,4.999999
-34.02512958,150.6629,3,131913,4.72
-34.02509742,150.6629084,3,131914,4.49
-34.02506563,150.66291703,3,131915,4.78
-34.02503453,150.66292496,3,131916,4.73
