ID,Latitude,Longitude,Accuracy,Time,Itt,Data1,Data2 ,Data1_Ave7,Data1_Ave11
2371,-34.0263186,150.6626041,3.21600008010864,120256,249,84,7.89,84.5714285714286,85.1666666666667
2373,-34.026338,150.6625946,3.21600008010864,120257,250,85,7.86,86.5714285714286,86.0833333333333
2375,-34.0263578,150.6625862,3.21600008010864,120258,251,89,7.81,87.8571428571429,86.5
2376,-34.0263788,150.6625808,3.21600008010864,120259,252,92,9.73,88.5714285714286,86.6666666666667
2378,-34.0264004,150.662577,3.21600008010864,120300,253,94,9.7,89.4285714285714,85.8333333333333
2380,-34.0264203,150.6625737,3.21600008010864,120301,254,89,9.68,89.5714285714286,84.25
2381,-34.02644,150.6625708,3.21600008010864,120302,255,87,7.76,88.5714285714286,82.4166666666667
2383,-34.0264602,150.6625681,3.21600008010864,120303,256,90,5.85,85.4285714285714,80.3333333333333
2385,-34.0264789,150.662564,3.21600008010864,120304,257,86,7.88,81,78.0833333333333
2386,-34.0264974,150.6625557,3.21600008010864,120305,258,82,7.9,77.1428571428571,75.8333333333333
2388,-34.0265102,150.6625419,3.21600008010864,120306,259,70,9.84,73.2857142857143,73.5
2390,-34.0265171,150.6625224,3.21600008010864,120307,260,63,9.77,69.2857142857143,71.5833333333333
2391,-34.0265162,150.6624981,3.21600008010864,120308,261,62,9.73,66.2857142857143,69.9166666666667
2393,-34.0265068,150.6624744,3.21600008010864,120309,262,60,9.7,64,68.0833333333333
2394,-34.0264882,150.6624591,3.21600008010864,120310,263,62,9.68,63.4285714285714,66.8333333333333
2396,-34.0264663,150.6624546,3.21600008010864,120311,264,65,9.7,64,66.25
2398,-34.0264455,150.662459,3.21600008010864,120312,265,66,9.72,64.8571428571429,67.25
2400,-34.0264248,150.6624693,3.21600008010864,120313,266,66,9,66.4285714285714,69.0833333333333
2401,-34.0264036,150.6624792,3.21600008010864,120314,267,67,9.76,68.2857142857143,70.9166666666667
2403,-34.0263833,150.6624865,3.21600008010864,120315,268,68,7.82,70.7142857142857,72.5
2405,-34.0263627,150.6624924,3.21600008010864,120316,269,71,7.82,73.4285714285714,74
2406,-34.0263432,150.6625007,3.21600008010864,120317,270,75,7.81,76,75.1666666666667
53.79,-34.0263228,150.6625084,3.21600008010864,120318,271,82,7.84,77.7142857142857,76.5833333333333
2409,-34.0263027,150.6625148,3.21600008010864,120319,272,85,9.81,79.4285714285714,77.75
2411,-34.0262844,150.6625195,3.21600008010864,120320,273,84,9.78,80.5714285714286,78.4166666666667
2413,-34.026265,150.6625251,3.21600008010864,120321,274,79,9.73,81.7142857142857,78.6666666666667
2415,-34.0262456,150.6625326,3.21600008010864,120322,275,80,9.76,81.4285714285714,78.9166666666667
53.75,-34.026226,150.6625393,3.21600008010864,120323,276,79,9.76,80,79.0833333333333
2418,-34.0262057,150.6625446,3.21600008010864,120324,277,83,9.81,78.1428571428571,79.0833333333333
2419,-34.0261848,150.6625495,3.21600008010864,120325,278,80,9.79,77.4285714285714,79.1666666666667
2421,-34.0261652,150.6625549,3.21600008010864,120326,279,75,9.8,77,79.4166666666667
44.77,-34.0261457,150.6625595,3.21600008010864,120327,280,71,9,77.4285714285714,80.4166666666667
2425,-34.0261259,150.6625626,3.21600008010864,120328,281,74,9.81,77.8571428571429,80.9166666666667
2426,-34.0261063,150.6625658,3.21600008010864,120329,282,77,9.76,78.8571428571429,81.75
2428,-34.026085,150.6625699,3.21600008010864,120330,283,82,9.71,81.1428571428571,81.75
2429,-34.0260647,150.6625764,3.21600008010864,120331,284,86,9.69,83.2857142857143,81.6666666666667
2431,-34.0260465,150.6625812,3.21600008010864,120332,285,87,9,85.4285714285714,81.8333333333333
2433,-34.0260272,150.6625858,3.21600008010864,120333,286,91,9.67,86.2857142857143,82.1666666666667
2435,-34.0260092,150.6625901,3.21600008010864,120334,287,86,9.62,85.8571428571429,82.3333333333333
2436,-34.0259909,150.6625975,3.21600008010864,120335,288,89,9.61,84.5714285714286,82.25
2438,-34.0259732,150.6626049,3.21600008010864,120336,289,83,9.66,82.8571428571429,81.6666666666667
2440,-34.0259561,150.6626092,3.21600008010864,120337,290,79,9.65,80.7142857142857,81.0833333333333
2441,-34.0259391,150.6626143,3.21600008010864,120338,291,77,9.67,79.2857142857143,80.8333333333333
2443,-34.0259213,150.6626188,3.21600008010864,120339,292,75,9.67,77.2857142857143,80.9166666666667
2445,-34.0259014,150.6626213,3.21600008010864,120340,293,76,9.74,76.7142857142857,81.6666666666667
