ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Data1_ave7
525,-34.02655798,150.6626753,3.21600008010864,114428,67,9.33,64.8571428571429
526,-34.02653712,150.66267106,3.21600008010864,114429,67,9,64.4285714285714
528,-34.02651508,150.66267314,3.21600008010864,114430,62,9.4,64.2857142857143
530,-34.02649197,150.66267903,3.21600008010864,114431,62,9.46,64
531,-34.02646832,150.66268704,3.21600008010864,114432,61,9.52,64.5714285714286
533,-34.02644557,150.66269636,3.21600008010864,114433,63,9.5,65.4285714285714
535,-34.02642411,150.66270556,3.21600008010864,114434,66,9.65,67.1428571428571
536,-34.02640328,150.66271493,3.21600008010864,114435,71,9.68,68.4285714285714
538,-34.02638499,150.66272103,3.21600008010864,114436,73,9.75,70.1428571428571
540,-34.02636577,150.66272666,3.21600008010864,114437,74,9.73,72.2857142857143
541,-34.02634477,150.66273106,3.21600008010864,114438,71,9.7,74.1428571428571
543,-34.02632278,150.66273647,3.21600008010864,114439,73,9.63,75.8571428571429
545,-34.02630175,150.66274206,3.21600008010864,114440,78,9.59,77
546,-34.02628256,150.66274748,3.21600008010864,114441,79,9.57,78
548,-34.02626321,150.66275248,3.21600008010864,114442,83,9.56,79.7142857142857
550,-34.02624495,150.66275964,3.21600008010864,114443,81,9.55,81.1428571428571
552,-34.02622701,150.66276659,3.21600008010864,114444,81,9,82.1428571428571
58553,-34.02620911,150.6627722,3.21600008010864,114445,83,9.57,82.7142857142857
555,-34.0261891,150.66277729,3.21600008010864,114446,83,9.56,82.7142857142857
556,-34.02616619,150.66278222,3.21600008010864,114447,85,9.51,83
558,-34.02614504,150.66278594,3.21600008010864,114448,83,9.59,83
560,-34.02612582,150.66279001,3.21600008010864,114449,83,9.55,82.4285714285714
561,-34.02610427,150.66279726,3.21600008010864,114450,83,9.61,81.7142857142857
563,-34.0260841,150.66280487,3.21600008010864,114451,81,9.51,80.7142857142857
565,-34.02606304,150.66281185,3.21600008010864,114452,79,9.56,79.5714285714286
566,-34.02603982,150.66281704,3.21600008010864,114453,78,9.51,78.2857142857143
568,-34.02601672,150.66282083,3.21600008010864,114454,78,9.52,77.5714285714286
570,-34.02599571,150.66282251,3.21600008010864,114455,75,9.58,77
571,-34.02597722,150.66282419,3.21600008010864,114456,74,9.58,76.4285714285714
573,-34.02595839,150.66282619,3.21600008010864,114457,78,9.66,76.2857142857143
575,-34.02594009,150.66282861,3.21600008010864,114458,77,9.59,78
576,-34.02592132,150.66283249,3.21600008010864,114459,75,9.59,80.8571428571429
578,-34.02590202,150.66283666,3.21600008010864,114500,77,9.5,84.5714285714286
580,-34.02588292,150.66284086,3.21600008010864,114501,90,9.51,87.1428571428571
581,-34.0258634,150.66284636,3.21600008010864,114502,95,9.53,90.1428571428571
583,-34.02584448,150.66285263,3.21600008010864,114503,100,9.58,92
585,-34.02582547,150.6628588,3.21600008010864,114504,96,9.57,94
586,-34.02580625,150.66286554,3.21600008010864,114505,98,9.58,94.5714285714286
588,-34.02579005,150.66287277,3.21600008010864,114506,88,9.61,95.1428571428571
590,-34.02577318,150.66288006,3.21600008010864,114507,91,9.62,94.8571428571429
591,-34.02575745,150.66288803,3.21600008010864,114508,94,9.62,94.4285714285714
593,-34.02574291,150.66289565,3.21600008010864,114509,99,9.55,95
595,-34.02572854,150.66290316,3.21600008010864,114510,98,9.54,97.5714285714286
596,-34.02571087,150.66290995,3.21600008010864,114511,93,9.53,100
598,-34.02569361,150.66291527,3.21600008010864,114512,102,9.64,101.428571428571
44.7556,-34.02567776,150.66292173,3.21600008010864,114513,106,9.75,101.285714285714
601,-34.02565921,150.66292669,3.21600008010864,114514,108,9.82,100.857142857143
603,-34.02564185,150.66293216,3.21600008010864,114515,104,9.78,100.857142857143
605,-34.02562454,150.6629386,3.21600008010864,114516,98,9.67,99.8571428571429
607,-34.02560606,150.66294685,3.21600008010864,114517,95,9,98
608,-34.02558604,150.66295551,3.21600008010864,114518,93,9.52,95.5714285714286
610,-34.02556732,150.66296217,3.21600008010864,114519,95,9.54,93.4285714285714
611,-34.0255491,150.66296785,3.21600008010864,114520,93,9.6,92.1428571428571
613,-34.02553042,150.66297266,3.21600008010864,114521,91,9.61,91.2857142857143
6615,-34.02551094,150.6629762,3.21600008010864,114522,89,9.59,90.5714285714286
616,-34.0254906,150.66297978,3.21600008010864,114523,89,9.59,89.7142857142857
618,-34.02547017,150.6629862,3.21600008010864,114524,89,9.57,88.4285714285714
620,-34.02544972,150.66299145,3.21600008010864,114525,88,9.6,87
621,-34.02542943,150.66299525,3.21600008010864,114526,89,9.58,85.7142857142857
623,-34.02541043,150.66299986,3.21600008010864,114527,84,9.61,85
625,-34.02539125,150.66300436,3.21600008010864,114528,81,9.6,86
626,-34.02536947,150.66300798,3.21600008010864,114529,80,9.61,87.4285714285714
628,-34.02535029,150.66301389,3.21600008010864,114530,84,9.61,89
630,-34.0253317,150.66301997,3.21600008010864,114531,96,9.69,90.8571428571429
632,-34.02531242,150.66302752,3.21600008010864,114532,98,9.71,93.4285714285714
633,-34.02529137,150.6630327,3.21600008010864,114533,100,9.69,96.2857142857143
635,-34.0252715,150.66303737,3.21600008010864,114534,97,9.65,98
636,-34.02525301,150.66304175,3.21600008010864,114535,99,9.68,97.5714285714286
638,-34.02523231,150.66304552,3.21600008010864,114536,100,9.78,96.2857142857143
81640,-34.02521272,150.66304845,3.21600008010864,114537,96,9.74,94.1428571428571
642,-34.0251927,150.66305184,3.21600008010864,114538,93,9.7,92.1428571428571
643,-34.02517116,150.66305661,3.21600008010864,114539,89,9.61,89.5714285714286
645,-34.02515061,150.66306007,3.21600008010864,114540,85,9.55,86.7142857142857
647,-34.025133,150.66306797,3.21600008010864,114541,83,9,85.5714285714286
648,-34.02511433,150.66307536,3.21600008010864,114542,81,9.51,85.4285714285714
650,-34.0250953,150.66308064,3.21600008010864,114543,80,9.54,86.4285714285714
652,-34.02507935,150.66308539,3.21600008010864,114544,88,9.6,87.2857142857143
653,-34.02506127,150.66308943,3.21600008010864,114545,92,9.58,88.5714285714286
655,-34.02504147,150.66309261,3.21600008010864,114546,96,9.61,90.5714285714286
657,-34.0250235,150.66309424,3.21600008010864,114547,91,9.61,92.8571428571429
658,-34.0250052,150.66309444,3.21600008010864,114548,92,9.64,93.2857142857143
660,-34.0249865,150.66309578,3.21600008010864,114549,95,9.64,93
661,-34.02496949,150.66309847,3.21600008010864,114550,96,9.61,91.8571428571429
663,-34.0249543,150.66310224,3.21600008010864,114551,91,9.69,91.1428571428571
665,-34.02493764,150.66310597,3.21600008010864,114552,90,9.73,88.2857142857143
667,-34.02492064,150.66310941,3.21600008010864,114553,88,9.67,83.5714285714286
668,-34.02490538,150.66311088,3.21600008010864,114554,86,9.67,78.2857142857143
670,-34.02488956,150.66311117,3.21600008010864,114555,72,9.64,74.7142857142857
672,-34.02487377,150.66310691,3.21600008010864,114556,62,9.61,71.8571428571429
673,-34.02485871,150.66309515,3.21600008010864,114557,59,9.56,70.1428571428571
