,Time,Lon,Lat,Reading
331,778,150.66205088,-34.02598683,0.0811
332,780,150.66204168,-34.02603479,0.0803
333,783,150.66203523,-34.02610671,0.0819
334,785,150.66203291,-34.02615454,0.0785
335,787,150.66203166,-34.0262007,0.08
336,790,150.66199531,-34.02625382,0.0824
337,792,150.66196601,-34.02624418,0.0808
338,794,150.66196137,-34.02620558,0.0801
339,797,150.66197799,-34.02612301,0.0762
340,799,150.66198349,-34.02606646,0.0723
341,801,150.66199456,-34.0260223,0.0726
342,804,150.66200177,-34.02595919,0.0754
343,806,150.6620047,-34.02591491,0.0769
344,808,150.66201013,-34.02587297,0.0827
345,811,150.66201152,-34.02580991,0.0747
346,813,150.66202879,-34.0257735,0.0827
347,815,150.66207933,-34.02576085,0.0736
348,818,150.66215738,-34.02577425,0.0786
349,820,150.66219969,-34.0257913,0.0785
