,Time,Lon,Lat,Reading,,Time,Reading,
178,483,150.6625883,-34.026175,11.7275,,723,0.075975001,13.2956230975589
179,484,150.6625967,-34.0261517,11.735,,725,0.076375001,13.3656230866214
180,485,150.6626033,-34.02613,11.7375,,727,0.076625001,13.4093730797855
181,486,150.66261,-34.0261067,11.7225,,730,0.076405001,13.3708730858011
182,487,150.6626183,-34.0260833,11.725,,732,0.076490001,13.3857480834769
183,488,150.662625,-34.02606,11.72,,734,0.076330001,13.3577480878519
184,489,150.6626333,-34.0260367,11.71,,737,0.0758550005,13.2746230133402
185,490,150.66264,-34.0260133,11.685,,739,0.0760750005,13.3131230073245
186,491,150.6626483,-34.0259917,11.64,,742,0.0757550005,13.2571230160745
187,492,150.662655,-34.0259683,11.5775,,745,0.0761150005,13.3201230062308
188,493,150.66266,-34.0259483,11.5125,,747,0.076325,13.3568729129886
189,494,150.6626617,-34.0259283,11.44,,750,0.0768649995,13.451372810723
190,495,150.66265,-34.0259133,11.365,,752,0.0773549995,13.5371227973246
191,496,150.6626317,-34.0259067,11.29,,754,0.0773949995,13.5441227962308
192,497,150.6626133,-34.0259067,11.2125,,757,0.0776749995,13.5931227885746
193,498,150.662595,-34.025915,11.1425,,759,0.07801,13.6517478669144
194,499,150.6625833,-34.0259283,11.065,,761,0.0781850005,13.6823729496292
195,500,150.662575,-34.0259433,10.98,,764,0.0781750005,13.6806229499027
196,501,150.6625717,-34.0259617,10.9775,,766,0.0781000005,13.6674979519534
197,502,150.6625683,-34.0259783,11.0025,,768,0.0782950005,13.7016229466214
198,503,150.662565,-34.025995,11.045,,771,0.07863,13.7602478499613
199,504,150.6625617,-34.0260133,11.105,,773,0.07869,13.7707478483207
200,505,150.66256,-34.0260333,11.18,,775,0.078745,13.7803728468167
201,506,150.6625567,-34.0260517,11.2525,,778,0.07877,13.7847478461332
202,507,150.6625533,-34.0260717,11.3425,,780,0.078645,13.7628728495511
203,508,150.66255,-34.02609,11.4025,,783,0.078705,13.7733728479105
204,509,150.6625467,-34.02611,11.465,,785,0.07868,13.7689978485941
205,510,150.6625433,-34.02613,11.52,,787,0.07876,13.7829978464066
206,511,150.6625383,-34.02615,11.545,,790,0.078775,13.7856228459964
207,512,150.662535,-34.0261717,11.52,,792,0.07861,13.7567478505082
208,513,150.66253,-34.0261933,11.55,,794,0.0801,14.017497809766
209,514,150.6625267,-34.026215,11.5525,,797,0.0762,13.3349979164066
210,515,150.6625217,-34.0262367,11.55,,799,0.0723,12.6524980230472
211,516,150.6625167,-34.0262583,11.53,,801,0.0726,12.7049980148441
212,517,150.6625117,-34.02628,11.53,,804,0.0754,13.1949979382816
213,518,150.6625067,-34.0263017,11.5275,,806,0.0769,13.457497897266
214,519,150.6625017,-34.0263233,11.525,,808,0.0827,14.4724977386722
215,520,150.6624967,-34.026345,11.525,,811,0.0747,13.0724979574222
216,521,150.6624917,-34.0263683,11.5225,,813,0.0827,14.4724977386722
217,522,150.6624867,-34.02639,11.5075,,815,0.0736,12.8799979875003
218,523,150.6624817,-34.0264117,11.5025,,,,
219,524,150.6624767,-34.0264333,11.5225,,,,
220,525,150.6624733,-34.026455,11.5525,,,,
221,526,150.6624683,-34.026475,11.5775,,,,
222,527,150.662465,-34.026495,11.595,,,,
223,528,150.66246,-34.026515,11.6125,,,,
224,529,150.6624533,-34.0265317,11.615,,,,
225,530,150.66244,-34.026545,11.6175,,,,
226,531,150.66242,-34.0265467,11.62,,,,
227,532,150.6624033,-34.02654,11.62,,,,
228,533,150.662395,-34.0265267,11.6225,,,,
229,534,150.6623933,-34.02651,11.625,,,,
230,535,150.6623967,-34.026495,11.62,,,,
231,536,150.6624017,-34.0264767,11.6275,,,,
232,537,150.6624067,-34.0264583,11.635,,,,
233,538,150.6624117,-34.02644,11.6475,,,,
234,539,150.6624167,-34.0264217,11.6675,,,,
235,540,150.6624217,-34.0264017,11.6875,,,,
236,541,150.6624267,-34.02638,11.7075,,,,
237,542,150.6624317,-34.0263583,11.7325,,,,
238,543,150.6624367,-34.0263367,11.745,,,,
239,544,150.6624417,-34.0263133,11.7475,,,,
240,545,150.6624483,-34.0262917,11.75,,,,
241,546,150.6624533,-34.02627,11.7525,,,,
242,547,150.6624583,-34.0262467,11.7375,,,,
243,548,150.662465,-34.026225,11.745,,,,
