,Time,Lon,Lat
628,627,150.662375,-34.0261333
629,628,150.6623817,-34.02611
630,629,150.6623883,-34.0260867
631,630,150.662395,-34.026065
632,631,150.6624017,-34.0260417
633,632,150.6624083,-34.0260217
634,633,150.6624133,-34.026
635,634,150.66242,-34.0259783
636,635,150.6624267,-34.0259583
637,636,150.6624333,-34.0259367
638,637,150.6624417,-34.0259183
639,638,150.6624467,-34.0258983
640,639,150.6624483,-34.02588
641,640,150.6624433,-34.0258633
642,641,150.6624283,-34.0258517
643,642,150.66241,-34.0258483
644,643,150.6623917,-34.0258533
645,644,150.6623767,-34.0258667
646,645,150.6623683,-34.0258817
647,646,150.6623633,-34.0259
648,647,150.66236,-34.0259183
649,648,150.662355,-34.0259367
650,649,150.6623483,-34.025955
651,650,150.6623433,-34.025975
652,651,150.6623383,-34.025995
653,652,150.6623333,-34.0260133
654,653,150.6623267,-34.0260317
655,654,150.6623217,-34.0260517
656,655,150.662315,-34.0260717
657,656,150.66231,-34.0260917
658,657,150.662305,-34.0261117
659,658,150.6622983,-34.0261317
660,659,150.6622933,-34.0261517
661,660,150.6622883,-34.0261733
662,661,150.6622833,-34.0261933
663,662,150.6622783,-34.0262117
664,663,150.6622733,-34.0262317
665,664,150.6622683,-34.02625
666,665,150.6622617,-34.02627
667,666,150.6622567,-34.02629
668,667,150.6622517,-34.0263083
669,668,150.6622467,-34.0263283
670,669,150.6622433,-34.0263467
671,670,150.6622383,-34.0263667
672,671,150.6622317,-34.0263833
673,672,150.6622217,-34.0263967
674,673,150.662205,-34.0264017
675,674,150.6621883,-34.0263983
676,675,150.6621767,-34.0263883
677,676,150.6621733,-34.0263733
678,677,150.662175,-34.0263567
679,678,150.6621783,-34.0263383
680,679,150.6621833,-34.0263217
681,680,150.6621883,-34.0263033
682,681,150.6621933,-34.026285
683,682,150.6621983,-34.0262667
684,683,150.6622033,-34.0262483
685,684,150.66221,-34.0262283
686,685,150.662215,-34.02621
687,686,150.66222,-34.0261917
688,687,150.662225,-34.0261717
689,688,150.6622317,-34.0261517
690,689,150.66224,-34.0261317
691,690,150.662245,-34.02611
692,691,150.6622517,-34.02609
693,692,150.6622583,-34.02607
694,693,150.662265,-34.0260483
695,694,150.6622717,-34.0260283
696,695,150.6622783,-34.0260067
697,696,150.662285,-34.0259867
698,697,150.6622917,-34.0259667
699,698,150.6622983,-34.0259467
700,699,150.6623033,-34.0259267
701,700,150.66231,-34.0259067
702,701,150.6623167,-34.0258867
703,702,150.6623217,-34.0258683
704,703,150.662325,-34.0258483
705,704,150.6623217,-34.02583
706,705,150.6623083,-34.0258167
707,706,150.6622883,-34.0258117
708,707,150.6622683,-34.0258167
709,708,150.6622533,-34.0258283
710,709,150.6622467,-34.025845
711,710,150.66224,-34.0258633
712,711,150.6622333,-34.02588
713,712,150.6622283,-34.0258967
714,713,150.6622233,-34.025915
715,714,150.6622167,-34.0259333
716,715,150.6622117,-34.0259517
717,716,150.6622067,-34.02597
718,717,150.6622017,-34.02599
719,718,150.6621983,-34.0260083
720,719,150.662195,-34.0260267
721,720,150.6621917,-34.0260433
722,721,150.6621883,-34.0260617
723,722,150.662185,-34.02608
724,723,150.6621817,-34.0261
725,724,150.6621767,-34.0261183
726,725,150.6621733,-34.0261367
727,726,150.6621683,-34.0261567
728,727,150.662165,-34.026175
729,728,150.66216,-34.026195
730,729,150.662155,-34.0262133
731,730,150.6621517,-34.0262333
732,731,150.6621483,-34.0262533
733,732,150.6621433,-34.0262733
734,733,150.6621367,-34.02629
735,734,150.662125,-34.0263033
736,735,150.6621067,-34.0263083
737,736,150.66209,-34.0263033
738,737,150.6620783,-34.02629
739,738,150.6620767,-34.026275
740,739,150.66208,-34.0262583
741,740,150.662085,-34.0262417
742,741,150.66209,-34.026225
743,742,150.6620967,-34.0262067
744,743,150.6621017,-34.0261883
745,744,150.6621067,-34.02617
746,745,150.6621117,-34.0261517
747,746,150.6621167,-34.0261317
748,747,150.6621217,-34.0261133
749,748,150.6621267,-34.0260933
750,749,150.6621317,-34.0260733
751,750,150.6621367,-34.026055
752,751,150.6621433,-34.026035
753,752,150.6621483,-34.0260167
754,753,150.6621533,-34.0259967
755,754,150.66216,-34.0259767
756,755,150.662165,-34.0259583
757,756,150.66217,-34.0259383
758,757,150.662175,-34.0259183
759,758,150.66218,-34.0258983
760,759,150.662185,-34.0258783
761,760,150.66219,-34.02586
762,761,150.6621933,-34.0258417
763,762,150.662195,-34.0258233
764,763,150.6621883,-34.0258067
765,764,150.6621733,-34.025795
766,765,150.6621517,-34.0257933
767,766,150.6621333,-34.0258017
768,767,150.6621233,-34.0258183
769,768,150.6621167,-34.025835
770,769,150.66211,-34.0258517
771,770,150.662105,-34.02587
772,771,150.6621,-34.02589
773,772,150.662095,-34.02591
774,773,150.6620917,-34.02593
775,774,150.6620867,-34.02595
776,775,150.6620833,-34.02597
777,776,150.6620783,-34.02599
778,777,150.6620733,-34.0260117
779,778,150.6620683,-34.0260317
780,779,150.6620633,-34.0260533
781,780,150.6620583,-34.026075
