,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag,1.5mHCPcon
157,634,150.6628317,-34.0258783,5.4,5.3,0.63,2.3,12.8,8.3,-2.09,-4.86,5.35
158,638,150.66284,-34.025845,6.1,5.4,0.65,2.34,13.4,8.8,-2.17,-4.97,5.75
159,642,150.6628483,-34.0258117,6.7,6.3,0.62,2.17,12.8,9,-2.13,-5.05,6.5
160,646,150.6628567,-34.0257783,6.9,6.8,0.64,2.07,13.3,9.9,-2.15,-5.17,6.85
161,650,150.662865,-34.0257467,7.2,7.9,0.67,2.12,13.7,10.4,-2.17,-5.13,7.55
162,654,150.6628733,-34.0257133,6.7,7.5,0.79,2.28,13.4,9.2,-2.13,-4.86,7.1
163,658,150.6628817,-34.0256817,5.3,7,0.87,2.52,13.6,8.8,-2.28,-4.84,6.15
164,662,150.66289,-34.02565,6.3,7.2,0.82,2.58,14.4,9.4,-2.4,-5,6.75
165,666,150.6628983,-34.0256183,6.9,7.1,0.75,2.55,14.9,9.7,-2.5,-5.18,7
166,670,150.6629067,-34.0255867,7.2,7.1,0.72,2.52,16,10.1,-2.61,-5.46,7.15
167,674,150.662915,-34.025555,7.5,7.5,0.59,2.47,16.4,10.6,-2.73,-5.95,7.5
168,678,150.6629233,-34.0255233,7.8,7.3,0.49,2.55,17.6,11.3,-3,-6.54,7.55
169,682,150.6629317,-34.0254917,8.1,6.6,0.42,2.69,18.7,12.3,-3.28,-7.01,7.35
170,686,150.66294,-34.0254617,9.4,7.4,0.4,2.81,20.5,12.2,-3.47,-7.29,8.4
171,690,150.6629483,-34.02543,8.7,6,0.3,2.81,19.5,12,-3.49,-7.44,7.35
172,694,150.662955,-34.0253983,8.8,6.3,0.24,2.61,19.1,12.4,-3.38,-7.57,7.55
173,698,150.6629633,-34.0253667,8.5,6.7,0.25,2.18,17.8,12.4,-3.01,-7.26,7.6
174,702,150.6629717,-34.025335,8.6,8,0.33,1.91,16.5,11.8,-2.75,-7.03,8.3
175,706,150.6629783,-34.025305,8.2,7.6,0.39,1.72,16.1,12.1,-2.61,-6.87,7.9
176,710,150.662985,-34.0252717,8.3,8.2,0.36,1.69,16.2,11.6,-2.61,-6.93,8.25
177,714,150.6629917,-34.02524,8,7.9,0.32,1.68,16.2,11.6,-2.68,-7,7.95
178,718,150.6629983,-34.02521,7.3,7.1,0.35,1.9,17.2,11.5,-2.92,-7.21,7.2
179,722,150.663005,-34.0251783,7.7,7.3,0.31,1.94,17,11.8,-2.88,-7.22,7.5
180,726,150.6630133,-34.0251483,8.9,8.9,0.27,1.69,16.7,12.6,-2.74,-7.2,8.9
181,730,150.66302,-34.0251183,9.9,9.5,0.19,1.75,16.9,13.1,-2.72,-7.34,9.7
182,734,150.6630283,-34.0250867,10.4,9.6,0.16,1.98,17.9,13.8,-2.99,-7.7,10
183,738,150.663035,-34.0250567,9.7,7.7,0.14,2.52,20,14.2,-3.53,-8.19,8.7
184,742,150.6630433,-34.025025,9.6,6.6,0.07,3.06,22.7,14,-4.14,-8.86,8.1
185,746,150.6630517,-34.0249933,10.3,4.7,-0.06,3.86,27,15.3,-5.09,-9.86,7.5
186,750,150.66306,-34.0249633,10.5,3.4,-0.11,4.7,30.3,16.4,-6,-10.81,6.95
187,754,150.6630667,-34.0249317,10.1,2.4,-0.11,4.74,31.7,16.8,-6.14,-11.16,6.25
188,758,150.6630717,-34.0249033,10.3,2.3,-0.08,4.77,31.4,16,-6.12,-11.13,6.3
189,762,150.6630767,-34.024875,10.4,2.2,-0.08,4.72,30.9,16,-5.92,-10.77,6.3
190,766,150.6630817,-34.0248483,8.2,1.1,0.03,4.62,29.2,15.2,-5.52,-10.06,4.65
191,770,150.6630767,-34.0248233,7.3,0.5,0.28,4.64,27.2,13.6,-5.21,-9.35,3.9
192,774,150.6630583,-34.0248033,6.4,-0.6,0.29,4.59,25.1,12.2,-4.96,-8.91,2.9
193,778,150.66303,-34.024795,6.4,-0.4,0.24,4.52,25.1,11.9,-4.96,-8.85,3
194,782,150.663,-34.0247983,6.7,-0.2,0.15,4.51,25.2,11.8,-5.01,-9.13,3.25
195,786,150.662975,-34.024815,7.5,0.3,0.06,4.42,25.2,11.6,-5.08,-9.29,3.9
196,790,150.6629633,-34.02484,7.8,0.2,0.05,4.51,26.5,12.8,-5.27,-9.6,4
197,794,150.6629583,-34.024865,7.9,0.7,0.07,4.58,27.2,13.6,-5.36,-9.8,4.3
198,798,150.6629517,-34.0248917,9.1,1.4,-0.06,4.61,29.2,14.6,-5.74,-10.44,5.25
199,802,150.6629467,-34.02492,8.6,1.2,0.07,4.53,29.2,15.6,-5.6,-10.46,4.9
200,806,150.66294,-34.0249483,10.7,2.3,-0.32,4.21,29.2,16,-5.74,-11.15,6.5
201,810,150.6629333,-34.0249767,10.3,2.4,-0.33,4.55,31.5,17.1,-6.24,-11.6,6.35
202,814,150.662925,-34.025005,12.7,3.4,-0.32,4.85,33.3,18.4,-6.4,-11.63,8.05
203,818,150.6629167,-34.0250333,12.5,4.8,-0.31,4.78,31.7,18.3,-5.96,-10.93,8.65
204,822,150.6629083,-34.0250633,12.4,5.8,-0.32,3.94,27.1,17,-4.95,-9.99,9.1
205,826,150.6629017,-34.0250917,10.9,7.2,-0.17,2.93,22.1,15.3,-3.91,-9.04,9.05
