Latitude,Longitude,Accuracy,Reading,Time 
-34.02620638,150.66216252,10.0,0.0772,Wed Nov 01 14:44:30 AEDT 2017
-34.02626536,150.6621479,11.0,0.0755,Wed Nov 01 14:44:33 AEDT 2017
-34.02630401,150.66214107,10.0,0.0736,Wed Nov 01 14:44:35 AEDT 2017
-34.02634198,150.66212673,11.0,0.0784,Wed Nov 01 14:44:37 AEDT 2017
-34.02635353,150.6620686,10.0,0.0787,Wed Nov 01 14:44:40 AEDT 2017
-34.02631316,150.66206374,10.0,0.0815,Wed Nov 01 14:44:42 AEDT 2017
-34.02626853,150.66207875,9.0,0.0785,Wed Nov 01 14:44:45 AEDT 2017
-34.02620162,150.66211259,10.0,0.07410001,Wed Nov 01 14:44:48 AEDT 2017
-34.02615736,150.66213493,10.0,0.0789,Wed Nov 01 14:44:50 AEDT 2017
-34.02608406,150.66214626,10.0,0.0751,Wed Nov 01 14:44:53 AEDT 2017
-34.02603652,150.6621481,10.0,0.0718,Wed Nov 01 14:44:55 AEDT 2017
-34.02599234,150.66215911,9.0,0.0751,Wed Nov 01 14:44:57 AEDT 2017
-34.02592708,150.66217482,9.0,0.0742,Wed Nov 01 14:45:00 AEDT 2017
-34.02588376,150.66217773,10.0,0.0774,Wed Nov 01 14:45:02 AEDT 2017
-34.02584093,150.66218404,9.0,0.0811,Wed Nov 01 14:45:04 AEDT 2017
-34.02578084,150.66218359,9.0,0.0744,Wed Nov 01 14:45:07 AEDT 2017
-34.02575743,150.66214676,9.0,0.086,Wed Nov 01 14:45:09 AEDT 2017
-34.02577904,150.66211555,9.0,0.07639999,Wed Nov 01 14:45:11 AEDT 2017
-34.02582232,150.66209123,9.0,0.08179999,Wed Nov 01 14:45:14 AEDT 2017
-34.02587415,150.66207732,9.0,0.0774,Wed Nov 01 14:45:16 AEDT 2017
-34.02591632,150.66206636,9.0,0.078,Wed Nov 01 14:45:18 AEDT 2017
-34.02598683,150.66205088,9.0,0.0811,Wed Nov 01 14:45:21 AEDT 2017
-34.02603479,150.66204168,9.0,0.08030001,Wed Nov 01 14:45:23 AEDT 2017
-34.02610671,150.66203523,9.0,0.08190001,Wed Nov 01 14:45:26 AEDT 2017
-34.02615454,150.66203291,9.0,0.0785,Wed Nov 01 14:45:28 AEDT 2017
-34.0262007,150.66203166,9.0,0.08,Wed Nov 01 14:45:30 AEDT 2017
-34.02625382,150.66199531,10.0,0.0824,Wed Nov 01 14:45:33 AEDT 2017
-34.02624418,150.66196601,10.0,0.0808,Wed Nov 01 14:45:35 AEDT 2017
-34.02620558,150.66196137,10.0,0.0801,Wed Nov 01 14:45:37 AEDT 2017
-34.02612301,150.66197799,10.0,0.0762,Wed Nov 01 14:45:40 AEDT 2017
-34.02606646,150.66198349,9.0,0.0723,Wed Nov 01 14:45:42 AEDT 2017
-34.0260223,150.66199456,9.0,0.0726,Wed Nov 01 14:45:44 AEDT 2017
-34.02595919,150.66200177,9.0,0.0754,Wed Nov 01 14:45:47 AEDT 2017
-34.02591491,150.6620047,9.0,0.0769,Wed Nov 01 14:45:49 AEDT 2017
-34.02587297,150.66201013,10.0,0.0827,Wed Nov 01 14:45:51 AEDT 2017
-34.02580991,150.66201152,10.0,0.0747,Wed Nov 01 14:45:54 AEDT 2017
-34.0257735,150.66202879,10.0,0.0827,Wed Nov 01 14:45:56 AEDT 2017
-34.02576085,150.66207933,10.0,0.0736,Wed Nov 01 14:45:58 AEDT 2017
-34.02577425,150.66215738,10.0,0.0786,Wed Nov 01 14:46:01 AEDT 2017
-34.0257913,150.66219969,11.0,0.0785,Wed Nov 01 14:46:03 AEDT 2017
