,Time,Lon,Lat,1mHCPcon,2mHCPcon,1mHCPmag,2mHCPmag,1mPRPcon,2mPRPcon,1mPRPmag,2mPRPmag
194,779,150.663555,-34.0220133,3.7,5.0,0.26,0.63,3.1,3.8,-0.47,-1.56
195,783,150.66358,-34.0220183,3.3,5.4,0.25,0.64,2.5,3.2,-0.47,-1.59
196,787,150.6636033,-34.0220233,3.3,5.4,0.25,0.59,2.6,3.4,-0.47,-1.59
197,791,150.6636283,-34.0220283,2.9,6.0,0.25,0.62,2.5,3.4,-0.47,-1.62
198,795,150.6636533,-34.0220333,3.1,5.6,0.26,0.64,2.2,3.3,-0.47,-1.57
199,799,150.6636767,-34.0220383,2.7,5.6,0.26,0.63,2.5,3.4,-0.48,-1.62
200,803,150.6637,-34.0220433,3.0,5.6,0.25,0.65,2.5,3.2,-0.49,-1.62
201,807,150.6637217,-34.0220483,3.1,5.7,0.26,0.65,2.6,3.6,-0.48,-1.56
202,811,150.6637433,-34.0220517,3.2,5.8,0.26,0.69,2.2,3.1,-0.48,-1.61
203,815,150.663765,-34.022055,2.8,5.9,0.26,0.68,2.2,2.9,-0.5,-1.63
204,819,150.663785,-34.0220583,2.8,5.5,0.25,0.65,2.4,3.0,-0.5,-1.65
205,823,150.663805,-34.0220617,3.2,5.9,0.26,0.67,2.2,2.8,-0.49,-1.59
206,827,150.6638217,-34.022065,3.3,5.6,0.26,0.65,2.3,3.0,-0.49,-1.6
207,831,150.663825,-34.022065,3.3,5.5,0.27,0.64,2.5,3.0,-0.5,-1.59
208,835,150.663825,-34.022065,3.1,5.7,0.28,0.65,2.7,3.1,-0.5,-1.6
209,839,150.663825,-34.022065,3.6,5.3,0.28,0.69,2.6,3.0,-0.51,-1.61
210,843,150.663825,-34.022065,3.5,5.7,0.27,0.65,2.7,3.7,-0.5,-1.66
211,847,150.663825,-34.022065,3.3,5.4,0.27,0.66,2.5,3.6,-0.5,-1.6
212,851,150.663825,-34.022065,3.1,5.5,0.27,0.67,2.6,3.3,-0.5,-1.62
213,855,150.663825,-34.022065,3.3,5.4,0.27,0.68,2.7,3.2,-0.5,-1.64
214,859,150.663825,-34.022065,2.9,5.2,0.27,0.66,2.7,3.2,-0.5,-1.61
215,863,150.663825,-34.022065,3.2,5.3,0.27,0.68,2.6,3.4,-0.5,-1.63
